"","model","scenario","ensemble","year","variable","value","ecs","id"
"188","ACCESS-CM2","ssp126","r1i1p1f1",1912,"sst",-0.096347867647058,"4.7","very likely"
"189","ACCESS-CM2","ssp126","r1i1p1f1",1912,"land_tas",-0.247459411764737,"4.7","very likely"
"190","ACCESS-CM2","ssp126","r1i1p1f1",1913,"global_tas",-0.280016617878687,"4.7","very likely"
"191","ACCESS-CM2","ssp126","r1i1p1f1",1913,"sst",-0.122378117647059,"4.7","very likely"
"192","ACCESS-CM2","ssp126","r1i1p1f1",1913,"land_tas",-0.36637941176474,"4.7","very likely"
"193","ACCESS-CM2","ssp126","r1i1p1f1",1914,"global_tas",-0.415074548830887,"4.7","very likely"
"194","ACCESS-CM2","ssp126","r1i1p1f1",1914,"sst",-0.199626284313727,"4.7","very likely"
"195","ACCESS-CM2","ssp126","r1i1p1f1",1914,"land_tas",-0.601699411764741,"4.7","very likely"
"196","ACCESS-CM2","ssp126","r1i1p1f1",1915,"global_tas",-0.225224581616658,"4.7","very likely"
"197","ACCESS-CM2","ssp126","r1i1p1f1",1915,"sst",-0.084495534313724,"4.7","very likely"
"198","ACCESS-CM2","ssp126","r1i1p1f1",1915,"land_tas",-0.229539411764733,"4.7","very likely"
"199","ACCESS-CM2","ssp126","r1i1p1f1",1916,"global_tas",-0.0145096199139516,"4.7","very likely"
"200","ACCESS-CM2","ssp126","r1i1p1f1",1916,"sst",0.0396757990196087,"4.7","very likely"
"201","ACCESS-CM2","ssp126","r1i1p1f1",1916,"land_tas",-0.00132941176474333,"4.7","very likely"
"202","ACCESS-CM2","ssp126","r1i1p1f1",1917,"global_tas",-0.293316860157518,"4.7","very likely"
"203","ACCESS-CM2","ssp126","r1i1p1f1",1917,"sst",-0.116268700980392,"4.7","very likely"
"204","ACCESS-CM2","ssp126","r1i1p1f1",1917,"land_tas",-0.467389411764714,"4.7","very likely"
"205","ACCESS-CM2","ssp126","r1i1p1f1",1918,"global_tas",-0.0658687537164724,"4.7","very likely"
"206","ACCESS-CM2","ssp126","r1i1p1f1",1918,"sst",-0.0147926176470604,"4.7","very likely"
"207","ACCESS-CM2","ssp126","r1i1p1f1",1918,"land_tas",-0.0129594117647116,"4.7","very likely"
"208","ACCESS-CM2","ssp126","r1i1p1f1",1919,"global_tas",-0.0906267824786937,"4.7","very likely"
"209","ACCESS-CM2","ssp126","r1i1p1f1",1919,"sst",-0.044293034313725,"4.7","very likely"
"210","ACCESS-CM2","ssp126","r1i1p1f1",1919,"land_tas",-0.115919411764708,"4.7","very likely"
"211","ACCESS-CM2","ssp126","r1i1p1f1",1920,"global_tas",-0.1479950234189,"4.7","very likely"
"212","ACCESS-CM2","ssp126","r1i1p1f1",1920,"sst",-0.08196461764706,"4.7","very likely"
"213","ACCESS-CM2","ssp126","r1i1p1f1",1920,"land_tas",-0.223219411764717,"4.7","very likely"
"214","ACCESS-CM2","ssp126","r1i1p1f1",1921,"global_tas",-0.155591645769221,"4.7","very likely"
"215","ACCESS-CM2","ssp126","r1i1p1f1",1921,"sst",-0.067988034313725,"4.7","very likely"
"216","ACCESS-CM2","ssp126","r1i1p1f1",1921,"land_tas",-0.244659411764758,"4.7","very likely"
"217","ACCESS-CM2","ssp126","r1i1p1f1",1922,"global_tas",-0.248719245752113,"4.7","very likely"
"218","ACCESS-CM2","ssp126","r1i1p1f1",1922,"sst",-0.127298034313725,"4.7","very likely"
"219","ACCESS-CM2","ssp126","r1i1p1f1",1922,"land_tas",-0.422499411764704,"4.7","very likely"
"220","ACCESS-CM2","ssp126","r1i1p1f1",1923,"global_tas",-0.0702170924983534,"4.7","very likely"
"221","ACCESS-CM2","ssp126","r1i1p1f1",1923,"sst",-0.053306534313727,"4.7","very likely"
"222","ACCESS-CM2","ssp126","r1i1p1f1",1923,"land_tas",-0.057629411764708,"4.7","very likely"
"223","ACCESS-CM2","ssp126","r1i1p1f1",1924,"global_tas",-0.0253691742390174,"4.7","very likely"
"224","ACCESS-CM2","ssp126","r1i1p1f1",1924,"sst",-0.00530445098039313,"4.7","very likely"
"225","ACCESS-CM2","ssp126","r1i1p1f1",1924,"land_tas",-0.0833594117647181,"4.7","very likely"
"226","ACCESS-CM2","ssp126","r1i1p1f1",1925,"global_tas",0.0204160672878402,"4.7","very likely"
"227","ACCESS-CM2","ssp126","r1i1p1f1",1925,"sst",-0.016415950980391,"4.7","very likely"
"228","ACCESS-CM2","ssp126","r1i1p1f1",1925,"land_tas",0.0414905882352627,"4.7","very likely"
"229","ACCESS-CM2","ssp126","r1i1p1f1",1926,"global_tas",-0.0721117421548456,"4.7","very likely"
"230","ACCESS-CM2","ssp126","r1i1p1f1",1926,"sst",-0.038095284313726,"4.7","very likely"
"231","ACCESS-CM2","ssp126","r1i1p1f1",1926,"land_tas",-0.140659411764716,"4.7","very likely"
"232","ACCESS-CM2","ssp126","r1i1p1f1",1927,"global_tas",0.09428021938038,"4.7","very likely"
"233","ACCESS-CM2","ssp126","r1i1p1f1",1927,"sst",0.0442928823529415,"4.7","very likely"
"234","ACCESS-CM2","ssp126","r1i1p1f1",1927,"land_tas",0.0698705882352897,"4.7","very likely"
"235","ACCESS-CM2","ssp126","r1i1p1f1",1928,"global_tas",0.0435713083368228,"4.7","very likely"
"236","ACCESS-CM2","ssp126","r1i1p1f1",1928,"sst",0.0817570490196077,"4.7","very likely"
"237","ACCESS-CM2","ssp126","r1i1p1f1",1928,"land_tas",-0.0974594117647598,"4.7","very likely"
"238","ACCESS-CM2","ssp126","r1i1p1f1",1929,"global_tas",0.133163397597059,"4.7","very likely"
"239","ACCESS-CM2","ssp126","r1i1p1f1",1929,"sst",0.158672465686273,"4.7","very likely"
"240","ACCESS-CM2","ssp126","r1i1p1f1",1929,"land_tas",0.0202805882352664,"4.7","very likely"
"241","ACCESS-CM2","ssp126","r1i1p1f1",1930,"global_tas",0.0334292021070723,"4.7","very likely"
"242","ACCESS-CM2","ssp126","r1i1p1f1",1930,"sst",0.019544799019606,"4.7","very likely"
"243","ACCESS-CM2","ssp126","r1i1p1f1",1930,"land_tas",-0.0373394117647194,"4.7","very likely"
"244","ACCESS-CM2","ssp126","r1i1p1f1",1931,"global_tas",-0.0490663673917311,"4.7","very likely"
"245","ACCESS-CM2","ssp126","r1i1p1f1",1931,"sst",-0.00447961764706042,"4.7","very likely"
"246","ACCESS-CM2","ssp126","r1i1p1f1",1931,"land_tas",-0.330659411764714,"4.7","very likely"
"247","ACCESS-CM2","ssp126","r1i1p1f1",1932,"global_tas",0.110636905401066,"4.7","very likely"
"248","ACCESS-CM2","ssp126","r1i1p1f1",1932,"sst",0.0668780490196072,"4.7","very likely"
"249","ACCESS-CM2","ssp126","r1i1p1f1",1932,"land_tas",0.107410588235268,"4.7","very likely"
"250","ACCESS-CM2","ssp126","r1i1p1f1",1933,"global_tas",0.167354609590802,"4.7","very likely"
"251","ACCESS-CM2","ssp126","r1i1p1f1",1933,"sst",0.129083132352943,"4.7","very likely"
"252","ACCESS-CM2","ssp126","r1i1p1f1",1933,"land_tas",0.0656405882352828,"4.7","very likely"
"253","ACCESS-CM2","ssp126","r1i1p1f1",1934,"global_tas",0.375548205119571,"4.7","very likely"
"254","ACCESS-CM2","ssp126","r1i1p1f1",1934,"sst",0.230008882352941,"4.7","very likely"
